N,AVL,Rubro-Negra,ArvoreB1,ArvoreB5,ArvoreB10
783,8995,15830,20502,20026,24706
784,9520,15798,20577,20129,24700
785,9627,15929,20575,20202,24763
786,9560,15798,20603,20166,24705
787,9123,15752,20596,20254,24789
788,10227,15825,20648,20371,24852
789,9314,15801,20632,20270,24879
790,9440,15892,20680,20295,24900
791,9292,16020,20669,20289,24937
792,9379,15966,20729,20308,25034
793,9703,16096,20779,20299,25041
794,9493,16109,20839,20468,24981
795,10019,16047,20846,20393,25088
796,9349,16210,20863,20436,24966
797,9709,16140,20895,20460,24957
798,10594,16397,20877,20513,25166
799,10131,16286,20961,20517,25161
800,9712,16024,20903,20574,25219
801,10376,16430,20939,20476,25171
802,9421,16025,20984,20671,25298
803,9914,16293,21040,20605,25124
804,10247,16225,21046,20711,25315
805,11220,16247,21060,20719,25419
806,9538,16401,21157,20729,25417
807,9773,16239,21175,20843,25519
808,10244,16471,21249,20809,25437
809,9438,16314,21197,20752,25514
810,9639,16337,21268,20802,25424
811,9626,16542,21290,20918,25529
812,10376,16725,21290,20974,25571
813,10236,16649,21295,20910,25701
814,9943,16604,21377,20979,25694
815,9767,16701,21325,20918,25741
816,10747,16565,21414,21022,25690
817,9858,16352,21545,21063,25847
818,9485,16436,21471,21116,25894
819,10109,16698,21505,21141,25861
820,9994,16718,21512,21022,26035
821,9865,16609,21578,21179,25850
822,9800,16474,21634,21171,25959
823,10207,16726,21604,21228,26037
824,10042,16763,21616,21152,26140
825,9592,16938,21632,21288,26056
826,11507,16946,21740,21319,26017
827,10281,17115,21747,21262,26043
828,11342,17046,21692,21335,26171
829,10649,17145,21783,21344,26143
830,9847,16962,21898,21421,26162
